R, F=Q^2/(2R^4) (Q=1), L=4 pi rho, L_F, kappa=1+2F L_FF/L_F
2.417763337629408595e-05,1.463237602894500608e+18,2.042218015628493433e+01,1.150055656680473822e-33,nan
2.418457202596086754e-05,1.461559090730209024e+18,2.042218015628493433e+01,1.152698712148141359e-33,nan
2.419151266692507555e-05,1.459882504024285440e+18,2.042218015628493433e+01,1.155347841880270694e-33,nan
2.419845529975819297e-05,1.458207840567992064e+18,2.042218015628493433e+01,1.158003059836725423e-33,nan
2.420539992503184843e-05,1.456535098155129600e+18,2.042218015628493433e+01,1.160664380009447105e-33,nan
2.421234654331785695e-05,1.454864274582023424e+18,2.042218015628493433e+01,1.163331816422538230e-33,nan
2.421929515518817582e-05,1.453195367647532800e+18,2.042218015628493433e+01,1.166005383132328415e-33,nan
2.422624576121494192e-05,1.451528375153037824e+18,2.042218015628493433e+01,1.168685094227452406e-33,nan
2.423319836197045137e-05,1.449863294902441728e+18,2.042218015628493433e+01,1.171370963828925687e-33,nan
2.424015295802715614e-05,1.448200124702169600e+18,2.042218015628493433e+01,1.174063006090211020e-33,nan
2.424710954995769116e-05,1.446538862361157632e+18,2.042218015628493433e+01,1.176761235197304314e-33,nan
2.425406813833483704e-05,1.444879505690860288e+18,2.042218015628493433e+01,1.179465665368800999e-33,nan
2.426102872373155059e-05,1.443222052505239808e+18,2.042218015628493433e+01,1.182176310855974367e-33,nan
2.426799130672094786e-05,1.441566500620766976e+18,2.042218015628493433e+01,1.184893185942849469e-33,nan
2.427495588787631091e-05,1.439912847856417536e+18,2.042218015628493433e+01,1.187616304946278893e-33,nan
2.428192246777108443e-05,1.438261092033668864e+18,2.042218015628493433e+01,1.190345682216018031e-33,nan
2.428889104697888252e-05,1.436611230976496640e+18,2.042218015628493433e+01,1.193081332134802566e-33,nan
2.429586162607352256e-05,1.434963262511363584e+18,2.042218015628493433e+01,1.195823269118437423e-33,nan
2.430283420562885245e-05,1.433317184467257600e+18,2.042218015628493433e+01,1.198571507615806516e-33,nan
2.430980878621903177e-05,1.431672994675621888e+18,2.042218015628493433e+01,1.201326062109054586e-33,nan
2.431678536841831836e-05,1.430030690970402816e+18,2.042218015628493433e+01,1.204086947113588567e-33,nan
