# Base profile of the inner-extremal family (triple root) (src/stability/triple_root_monotone.py, base0, sigma_min=1), units G=c=M=1, lambda=ell/M=0.27102, rho_c=1.625145, R-=0.67744, R+=1.98465; columns: R, m(R) (Misner-Sharp mass), rho(R) (= -T^t_t = -T^R_R), f = 1-2m/R, sigma = -d ln rho/d ln R; p_perp = -rho(1 - sigma/2)
R,m,rho,f,sigma
1.329491404213e-03,1.599687523536e-08,1.625145459069e+00,9.999759353461e-01,3.013551610549e-09
1.332787957983e-03,1.611616707748e-08,1.625145459056e+00,9.999758158573e-01,3.043552222542e-09
1.336092685756e-03,1.623634740246e-08,1.625145459044e+00,9.999756957768e-01,3.073850944768e-09
1.339405607799e-03,1.635742552579e-08,1.625145459032e+00,9.999755750977e-01,3.104452103638e-09
1.342726744432e-03,1.647940572182e-08,1.625145459019e+00,9.999754538207e-01,3.135357485937e-09
1.346056116023e-03,1.660229502628e-08,1.625145459006e+00,9.999753319422e-01,3.166570275125e-09
1.349393742990e-03,1.672610204450e-08,1.625145458994e+00,9.999752094566e-01,3.198094461347e-09
1.352739645804e-03,1.685083117823e-08,1.625145458981e+00,9.999750863646e-01,3.229931899836e-09
1.356093844984e-03,1.697649081452e-08,1.625145458968e+00,9.999749626608e-01,3.262086480179e-09
1.359456361103e-03,1.710308794149e-08,1.625145458954e+00,9.999748383421e-01,3.294561386030e-09
1.362827214783e-03,1.723062796202e-08,1.625145458941e+00,9.999747134079e-01,3.327358989459e-09
1.366206426697e-03,1.735912038193e-08,1.625145458928e+00,9.999745878514e-01,3.360483777413e-09
1.369594017569e-03,1.748857049460e-08,1.625145458914e+00,9.999744616722e-01,3.393938074532e-09
1.372990008177e-03,1.761898500382e-08,1.625145458900e+00,9.999743348678e-01,3.427724932544e-09
1.376394419347e-03,1.775037381021e-08,1.625145458886e+00,9.999742074313e-01,3.461849068743e-09
1.379807271959e-03,1.788274120248e-08,1.625145458872e+00,9.999740793637e-01,3.496312293424e-09
1.383228586944e-03,1.801609568684e-08,1.625145458858e+00,9.999739506603e-01,3.531118610791e-09
1.386658385285e-03,1.815044546512e-08,1.625145458844e+00,9.999738213165e-01,3.566271877242e-09
1.390096688017e-03,1.828579587977e-08,1.625145458830e+00,9.999736913324e-01,3.601774456513e-09
1.393543516227e-03,1.842215661535e-08,1.625145458815e+00,9.999735607013e-01,3.637630993163e-09
1.396998891055e-03,1.855953409299e-08,1.625145458800e+00,9.999734294219e-01,3.673844426205e-09
1.400462833692e-03,1.869793475435e-08,1.625145458785e+00,9.999732974924e-01,3.710417704688e-09
1.403935365382e-03,1.883736951128e-08,1.625145458770e+00,9.999731649049e-01,3.747356148644e-09
1.407416507424e-03,1.897784291948e-08,1.625145458755e+00,9.999730316607e-01,3.784661720588e-09
1.410906281166e-03,1.911936345072e-08,1.625145458740e+00,9.999728977556e-01,3.822338459425e-09
1.414404708012e-03,1.926194064293e-08,1.625145458725e+00,9.999727631836e-01,3.860390983558e-09
1.417911809417e-03,1.940557975050e-08,1.625145458709e+00,9.999726279454e-01,3.898821630910e-09
1.421427606891e-03,1.955029062297e-08,1.625145458693e+00,9.999724920347e-01,3.937635199148e-09
1.424952121996e-03,1.969608092747e-08,1.625145458677e+00,9.999723554488e-01,3.976835327142e-09
1.428485376348e-03,1.984295707547e-08,1.625145458661e+00,9.999722181866e-01,4.016424979680e-09
1.432027391615e-03,1.999093020927e-08,1.625145458645e+00,9.999720802405e-01,4.056409678617e-09
1.435578189523e-03,2.014000603566e-08,1.625145458629e+00,9.999719416104e-01,4.096792019707e-09
1.439137791847e-03,2.029019266674e-08,1.625145458612e+00,9.999718022933e-01,4.137575899000e-09
1.442706220419e-03,2.044150110937e-08,1.625145458595e+00,9.999716622819e-01,4.178766796321e-09
1.446283497124e-03,2.059393649904e-08,1.625145458578e+00,9.999715215771e-01,4.220367003460e-09
1.449869643901e-03,2.074750883425e-08,1.625145458561e+00,9.999713801735e-01,4.262381464888e-09
1.453464682744e-03,2.090222715657e-08,1.625145458544e+00,9.999712380667e-01,4.304814614725e-09
1.457068635702e-03,2.105809781944e-08,1.625145458527e+00,9.999710952562e-01,4.347669416061e-09
1.460681524878e-03,2.121513218296e-08,1.625145458509e+00,9.999709517348e-01,4.390951589708e-09
1.464303372430e-03,2.137333722887e-08,1.625145458491e+00,9.999708075012e-01,4.434664455704e-09
1.467934200570e-03,2.153272063379e-08,1.625145458473e+00,9.999706625534e-01,4.478811716265e-09
1.471574031566e-03,2.169329501760e-08,1.625145458455e+00,9.999705168825e-01,4.523399823254e-09
1.475222887742e-03,2.185506536270e-08,1.625145458437e+00,9.999703704904e-01,4.568430998850e-09
1.478880791476e-03,2.201804179784e-08,1.625145458418e+00,9.999702233717e-01,4.613910325931e-09
1.482547765202e-03,2.218223487856e-08,1.625145458400e+00,9.999700755208e-01,4.659843140240e-09
1.486223831409e-03,2.234765086918e-08,1.625145458381e+00,9.999699269378e-01,4.706232382747e-09
1.489909012643e-03,2.251430133249e-08,1.625145458362e+00,9.999697776158e-01,4.753083968508e-09
1.493603331506e-03,2.268219465986e-08,1.625145458343e+00,9.999696275521e-01,4.800402043602e-09
1.497306810654e-03,2.285133845298e-08,1.625145458323e+00,9.999694767455e-01,4.848190309303e-09
1.501019472801e-03,2.302174576833e-08,1.625145458304e+00,9.999693251871e-01,4.896455558592e-09
1.504741340716e-03,2.319342272985e-08,1.625145458284e+00,9.999691728776e-01,4.945200670918e-09
1.508472437227e-03,2.336637913082e-08,1.625145458264e+00,9.999690198130e-01,4.994430605490e-09
1.512212785215e-03,2.354062719223e-08,1.625145458244e+00,9.999688659858e-01,5.044151718167e-09
1.515962407621e-03,2.371617305455e-08,1.625145458223e+00,9.999687113969e-01,5.094366904033e-09
1.519721327441e-03,2.389302846553e-08,1.625145458203e+00,9.999685560398e-01,5.145082265541e-09
1.523489567728e-03,2.407120337255e-08,1.625145458182e+00,9.999683999105e-01,5.196302888423e-09
1.527267151593e-03,2.425070532386e-08,1.625145458161e+00,9.999682430080e-01,5.248032481992e-09
1.531054102204e-03,2.443154764050e-08,1.625145458140e+00,9.999680853242e-01,5.300278089895e-09
1.534850442787e-03,2.461373788721e-08,1.625145458118e+00,9.999679268583e-01,5.353043444951e-09
1.538656196624e-03,2.479728538343e-08,1.625145458096e+00,9.999677676073e-01,5.406333293505e-09
1.542471387057e-03,2.498220417989e-08,1.625145458075e+00,9.999676075623e-01,5.460155143442e-09
1.546296037483e-03,2.516850025458e-08,1.625145458053e+00,9.999674467248e-01,5.514511816413e-09
1.550130171359e-03,2.535618551955e-08,1.625145458030e+00,9.999672850887e-01,5.569409592985e-09
1.553973812201e-03,2.554527163726e-08,1.625145458008e+00,9.999671226485e-01,5.624854625264e-09
1.557826983581e-03,2.573576606744e-08,1.625145457985e+00,9.999669594039e-01,5.680850606786e-09
1.561689709130e-03,2.592768237919e-08,1.625145457962e+00,9.999667953471e-01,5.737404827043e-09
1.565562012540e-03,2.612102973150e-08,1.625145457939e+00,9.999666304758e-01,5.794521993328e-09
1.569443917559e-03,2.631581712981e-08,1.625145457915e+00,9.999664647882e-01,5.852206721301e-09
1.573335447994e-03,2.651205986913e-08,1.625145457892e+00,9.999662982743e-01,5.910467364736e-09
1.577236627712e-03,2.670976448576e-08,1.625145457868e+00,9.999661309356e-01,5.969307092941e-09
1.581147480640e-03,2.690894277758e-08,1.625145457844e+00,9.999659627668e-01,6.028732201551e-09
1.585068030763e-03,2.710960829478e-08,1.625145457819e+00,9.999657937606e-01,6.088750050275e-09
1.588998302125e-03,2.731176836953e-08,1.625145457795e+00,9.999656239175e-01,6.149364289078e-09
1.592938318830e-03,2.751543679940e-08,1.625145457770e+00,9.999654532301e-01,6.210582445972e-09
1.596888105044e-03,2.772062450446e-08,1.625145457745e+00,9.999652816945e-01,6.272410338000e-09
1.600847684990e-03,2.792734044394e-08,1.625145457719e+00,9.999651093096e-01,6.334852602706e-09
1.604817082952e-03,2.813560023337e-08,1.625145457694e+00,9.999649360659e-01,6.397917909126e-09
1.608796323275e-03,2.834541203676e-08,1.625145457668e+00,9.999647619632e-01,6.461610431428e-09
1.612785430363e-03,2.855678713807e-08,1.625145457642e+00,9.999645869976e-01,6.525936233780e-09
1.616784428682e-03,2.876974116263e-08,1.625145457615e+00,9.999644111600e-01,6.590904040763e-09
1.620793342757e-03,2.898428127144e-08,1.625145457589e+00,9.999642344517e-01,6.656517426498e-09
1.624812197175e-03,2.920042146771e-08,1.625145457562e+00,9.999640568657e-01,6.722784147319e-09
1.628841016584e-03,2.941817461384e-08,1.625145457534e+00,9.999638783966e-01,6.789711280971e-09
1.632879825693e-03,2.963754958349e-08,1.625145457507e+00,9.999636990437e-01,6.857303459135e-09
1.636928649272e-03,2.985856229462e-08,1.625145457479e+00,9.999635187981e-01,6.925569661334e-09
1.640987512151e-03,3.008122271372e-08,1.625145457451e+00,9.999633376580e-01,6.994515210699e-09
1.645056439225e-03,3.030554150372e-08,1.625145457423e+00,9.999631556209e-01,7.064145859018e-09
1.649135455448e-03,3.053153656833e-08,1.625145457394e+00,9.999629726758e-01,7.134471870728e-09
1.653224585837e-03,3.075921484900e-08,1.625145457365e+00,9.999627888248e-01,7.205496706812e-09
1.657323855470e-03,3.098859052806e-08,1.625145457336e+00,9.999626040615e-01,7.277228338429e-09
1.661433289488e-03,3.121967860709e-08,1.625145457307e+00,9.999624183784e-01,7.349675272315e-09
1.665552913094e-03,3.145248783011e-08,1.625145457277e+00,9.999622317759e-01,7.422842101826e-09
1.669682751555e-03,3.168703439608e-08,1.625145457247e+00,9.999620442454e-01,7.496738109262e-09
1.673822830198e-03,3.192333026398e-08,1.625145457217e+00,9.999618557834e-01,7.571369927754e-09
1.677973174415e-03,3.216138605844e-08,1.625145457186e+00,9.999616663883e-01,7.646743348455e-09
1.682133809659e-03,3.240122007899e-08,1.625145457155e+00,9.999614760492e-01,7.722869036933e-09
1.686304761449e-03,3.264284109672e-08,1.625145457124e+00,9.999612847667e-01,7.799751631390e-09
1.690486055363e-03,3.288626274159e-08,1.625145457093e+00,9.999610925359e-01,7.877398856107e-09
1.694677717047e-03,3.313150236802e-08,1.625145457061e+00,9.999608993474e-01,7.955820834282e-09
1.698879772208e-03,3.337856854131e-08,1.625145457028e+00,9.999607052022e-01,8.035022083165e-09
1.703092246617e-03,3.362747771616e-08,1.625145456996e+00,9.999605100924e-01,8.115012176753e-09
1.707315166110e-03,3.387824405064e-08,1.625145456963e+00,9.999603140126e-01,8.195799237946e-09
1.711548556584e-03,3.413087808959e-08,1.625145456930e+00,9.999601169620e-01,8.277389066740e-09
1.715792444005e-03,3.438539850021e-08,1.625145456897e+00,9.999599189300e-01,8.359792720063e-09
1.720046854399e-03,3.464181609076e-08,1.625145456863e+00,9.999597199158e-01,8.443016190042e-09
1.724311813860e-03,3.490014381488e-08,1.625145456829e+00,9.999595199157e-01,8.527066857184e-09
1.728587348543e-03,3.516040161165e-08,1.625145456794e+00,9.999593189183e-01,8.611956669817e-09
1.732873484672e-03,3.542259781302e-08,1.625145456759e+00,9.999591169256e-01,8.697690025339e-09
1.737170248532e-03,3.568674910006e-08,1.625145456724e+00,9.999589139301e-01,8.784276774469e-09
1.741477666476e-03,3.595287205430e-08,1.625145456689e+00,9.999587099246e-01,8.871726730394e-09
1.745795764922e-03,3.622097709124e-08,1.625145456653e+00,9.999585049090e-01,8.960045664068e-09
1.750124570352e-03,3.649108322222e-08,1.625145456616e+00,9.999582988733e-01,9.049245015842e-09
1.754464109315e-03,3.676320350914e-08,1.625145456580e+00,9.999580918147e-01,9.139332323439e-09
1.758814408426e-03,3.703735054107e-08,1.625145456543e+00,9.999578837308e-01,9.230314810553e-09
1.763175494364e-03,3.731354575645e-08,1.625145456505e+00,9.999576746094e-01,9.322205594430e-09
1.767547393877e-03,3.759179852990e-08,1.625145456468e+00,9.999574644520e-01,9.415009790472e-09
1.771930133778e-03,3.787212528935e-08,1.625145456430e+00,9.999572532522e-01,9.508737210603e-09
1.776323740945e-03,3.815454528342e-08,1.625145456391e+00,9.999570410006e-01,9.603399581736e-09
1.780728242324e-03,3.843906874296e-08,1.625145456352e+00,9.999568276980e-01,9.699002601602e-09
1.785143664930e-03,3.872571499561e-08,1.625145456313e+00,9.999566133351e-01,9.795558082070e-09
1.789570035841e-03,3.901449959233e-08,1.625145456274e+00,9.999563979070e-01,9.893075320523e-09
1.794007382204e-03,3.930543505193e-08,1.625145456234e+00,9.999561814121e-01,9.991561570536e-09
1.798455731235e-03,3.959854325858e-08,1.625145456193e+00,9.999559638388e-01,1.009103044177e-08
1.802915110213e-03,3.989383588845e-08,1.625145456152e+00,9.999557451866e-01,1.019148864414e-08
1.807385546490e-03,4.019132863541e-08,1.625145456111e+00,9.999555254509e-01,1.029294561478e-08
1.811867067482e-03,4.049104367953e-08,1.625145456069e+00,9.999553046199e-01,1.039541524313e-08
1.816359700674e-03,4.079299100535e-08,1.625145456027e+00,9.999550826954e-01,1.049890310243e-08
1.820863473620e-03,4.109719022434e-08,1.625145455985e+00,9.999548596687e-01,1.060342135959e-08
1.825378413942e-03,4.140365963224e-08,1.625145455942e+00,9.999546355328e-01,1.070898131051e-08
1.829904549329e-03,4.171241162189e-08,1.625145455899e+00,9.999544102870e-01,1.081559019450e-08
1.834441907541e-03,4.202346849740e-08,1.625145455855e+00,9.999541839201e-01,1.092326210571e-08
1.838990516404e-03,4.233684448315e-08,1.625145455811e+00,9.999539564298e-01,1.103200557663e-08
1.843550403817e-03,4.265255448409e-08,1.625145455766e+00,9.999537278130e-01,1.114182960847e-08
1.848121597744e-03,4.297062360876e-08,1.625145455721e+00,9.999534980559e-01,1.125275032820e-08
1.852704126221e-03,4.329106181663e-08,1.625145455676e+00,9.999532671610e-01,1.136477332712e-08
1.857298017353e-03,4.361388886878e-08,1.625145455630e+00,9.999530351204e-01,1.147791103823e-08
1.861903299313e-03,4.393912608347e-08,1.625145455583e+00,9.999528019247e-01,1.159217702220e-08
1.866520000347e-03,4.426678566522e-08,1.625145455536e+00,9.999525675742e-01,1.170757845247e-08
1.871148148768e-03,4.459689030756e-08,1.625145455489e+00,9.999523320584e-01,1.182412989508e-08
1.875787772961e-03,4.492945705121e-08,1.625145455441e+00,9.999520953727e-01,1.194184195995e-08
1.880438901381e-03,4.526450074515e-08,1.625145455393e+00,9.999518575151e-01,1.206072370756e-08
1.885101562553e-03,4.560204703692e-08,1.625145455344e+00,9.999516184720e-01,1.218079188341e-08
1.889775785073e-03,4.594210848530e-08,1.625145455295e+00,9.999513782441e-01,1.230205395547e-08
1.894461597609e-03,4.628470405755e-08,1.625145455245e+00,9.999511368252e-01,1.242452195287e-08
1.899159028899e-03,4.662985839590e-08,1.625145455195e+00,9.999508942035e-01,1.254821199765e-08
1.903868107751e-03,4.697758344708e-08,1.625145455144e+00,9.999506503804e-01,1.267313113733e-08
1.908588863047e-03,4.732790225811e-08,1.625145455093e+00,9.999504053459e-01,1.279929439189e-08
1.913321323739e-03,4.768083497758e-08,1.625145455041e+00,9.999501590931e-01,1.292671473317e-08
1.918065518852e-03,4.803639633579e-08,1.625145454989e+00,9.999499116210e-01,1.305540122953e-08
